#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=-1505754235581134795
#*** LG = 1 likelihood = -2936.8402
#marker_number	male_position	female_position	( 0.0 )[	phased data]
2	0.000	0.000	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101110011001010001010100001100000111001110100001000010110111101001010001100010000001010110 0 0
1	0.000	2.381	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101110011001010001010100001100000111001110100001000010110111111001110001100010000001010110 0 2
3	0.000	3.558	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100001100000111001110100001000010110111111001110001100010000001010110 0 1
4	0.000	3.558	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100001100000111001110100001000010110111111001110001100010000001010110 0 0
7	0.000	8.440	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110111111011110001100010100001010110 0 4
8	0.000	8.440	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110111111011110001100010100001010110 0 0
6	0.000	8.440	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110111111011110001100010100001010110 0 0
5	0.000	8.440	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110111111011110001100010100001010110 0 0
11	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 1
10	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
14	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
15	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
9	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
13	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
12	0.000	9.616	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000111001110100001000010110110111011110001100010100001010110 0 0
19	0.000	10.793	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001100010100001010110 0 1
20	0.000	10.793	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001100010100001010110 0 0
24	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 1
25	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
22	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
16	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
21	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
23	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
17	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
18	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
26	0.000	11.969	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100000101001110100001000010110110111011110001101010100001010110 0 0
27	0.000	18.150	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100011101001110100101000010110110111011110001101000100001011110 0 5
28	0.000	19.327	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010001010100111100011101001111100101000010110110111011110001101000100001011110 0 1
29	0.000	20.503	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110110111011110001101000100001011110 0 1
30	0.000	20.503	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110110111011110001101000100001011110 0 0
31	0.000	21.680	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010111011110001101000100001011110 0 1
32	0.000	21.680	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010111011110001101000100001011110 0 0
33	0.000	22.856	( 0 )	1111010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010111011110001101000100000011110 0 1
36	1.177	25.238	( 0 )	1101010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010110011110000101000100000011110 1 2
35	1.177	25.238	( 0 )	1101010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010110011110000101000100000011110 0 0
34	1.177	25.238	( 0 )	1101010110000101010100100110011101010000010011111111010110111100010110110011010101101111011001010011010100111100011101001111100101000010110010110011110000101000100000011110 0 0
37	2.353	26.414	( 0 )	1101010110000101010100100110011101010000010011111111010110111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011110000101000100000011110 1 1
38	2.353	28.796	( 0 )	1101010110000101010100100110011101010000010011111111010110111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011110000001000100000111110 0 2
39	4.734	29.972	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011110000001001100000111110 2 1
41	4.734	31.149	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011110000001001100000111100 0 1
45	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 1
49	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
42	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
46	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
44	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
48	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
47	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
43	4.734	32.325	( 0 )	1101010110000111010100100110011101010000010011111111010010111100010110110010010101101111011001010011010100111100011101001111100100000010110010110011111000001001100000111100 0 0
