#java OrderMarkers2 data=data_fil.call map=map.txt scale=2M/N randSeed=6781485760720850235
#*** LG = 1 likelihood = -1668.2229
#marker_number	male_position	female_position	( 0.0 )[	phased data]
88	0.000	0.000	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111110100000001110100111000000110001000000011000001110110010010011011001101111101100010 0 0
90	0.000	3.616	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111010100000001100100111001000110001000000011000001110110010010011011001101111101100010 0 3
86	0.000	3.616	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111010100000001100100111001000110001000000011000001110110010010011011001101111101100010 0 0
85	0.000	3.616	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111010100000001100100111001000110001000000011000001110110010010011011001101111101100010 0 0
87	0.000	3.616	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111010100000001100100111001000110001000000011000001110110010010011011001101111101100010 0 0
89	0.000	3.616	( 0 )	1100111111100001101000110000110000011111011001101001111010011110000011100111000011110111010100000001100100111001000110001000000011000001110110010010011011001101111101100010 0 0
81	1.177	8.498	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011110111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 1 4
84	1.177	8.498	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011110111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
83	1.177	9.674	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011110111010000000011100000111001000110001000000011000001110110000010011011001101111101100000 0 1
82	1.177	9.674	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011110111010000000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
79	2.353	9.674	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010000000011100000111001000110001000000011000001110110000010011011001101111101100000 1 0
78	2.353	9.674	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010000000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
80	2.353	9.674	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010000000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
77	2.353	10.851	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 1
75	2.353	10.851	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
74	2.353	10.851	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
76	2.353	10.851	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
73	2.353	10.851	( 0 )	1100111110100001101000110000110000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
72	4.734	10.851	( 0 )	1100111110100001101000110000111000001111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 2 0
69	4.734	10.851	( 0 )	1100111110100001101000110000111000001111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
71	4.734	10.851	( 0 )	1100111110100001101000110000111000001111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
70	4.734	10.851	( 0 )	1100111110100001101000110000111000001111011001101001111010011110000011100111000011010111010100000011100000111001000110001000000011000001110110000010011011001101111101100000 0 0
66	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 1 2
59	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
63	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
62	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
65	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
64	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
67	5.911	13.232	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111001000110001010100011000001110110000010011011001101111101100000 0 0
68	5.911	15.614	( 0 )	1100111110100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011000100001010100011000001110110000010011011001101111101100000 0 2
60	7.088	15.614	( 0 )	1100111010100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011000100001010100011000001110110000010011011001101111101100000 1 0
61	7.088	15.614	( 0 )	1100111010100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011000100001010100011000001110110000010011011001101111101100000 0 0
58	7.088	17.995	( 0 )	1100111010100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 0 2
57	7.088	17.995	( 0 )	1100111010100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 0 0
56	7.088	17.995	( 0 )	1100111010100001101000110000111000011111011001101001111010011110000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 0 0
54	8.264	17.995	( 0 )	1100111010100001101000110000111000011111011001101001111010011100000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 1 0
55	8.264	17.995	( 0 )	1100111010100001101000110000111000011111011001101001111010011100000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 0 0
53	9.441	17.995	( 0 )	1100111010100001101000110000111000011111011001101001011010011100000011100111000011010111010100000011100000111011100100001010100011000001110110000010111011001101111101100000 1 0
